mikina FIM "fimácká"/navy;FIM001;ks;540
tričko FIM modré;FIM002;ks;230
kravata modrá/šedá;FIM003;ks;180
hrneček FIM;FIM004;ks;80
plastová láhev s filtrem na ovoce;FIM005;ks;130
skleněná láhev na vodu;FIM006;ks;180
termohrnek;FIM007;ks;80
stahovací batoh;FIM008;ks;55
antistresové autíčko FIM;FIM009;ks;30
